Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805,99.75,-110.81,180.0,top
C1,10uF,C_0805,132.75,-140.31,180.0,top
C1,10uF,C_0805,131.95,-110.71,180.0,top
C1,10uF,C_0805,99.65,-140.31,180.0,top
C1,10uF,C_0805,68.45,-111.01,180.0,top
C1,10uF,C_0805,69.145,-140.495,180.0,top
C10,10uF,C_0805,99.7,-116.91,180.0,top
C10,10uF,C_0805,132.7,-146.41,180.0,top
C10,10uF,C_0805,131.9,-116.81,180.0,top
C10,10uF,C_0805,99.6,-146.41,180.0,top
C10,10uF,C_0805,68.4,-117.11,180.0,top
C10,10uF,C_0805,69.095,-146.595,180.0,top
C11,10uF,C_0805,99.7,-114.81,180.0,top
C11,10uF,C_0805,132.7,-144.31,180.0,top
C11,10uF,C_0805,131.9,-114.71,180.0,top
C11,10uF,C_0805,99.6,-144.31,180.0,top
C11,10uF,C_0805,68.4,-115.01,180.0,top
C11,10uF,C_0805,69.095,-144.495,180.0,top
C12,10uF,C_0805,99.7,-112.81,180.0,top
C12,10uF,C_0805,132.7,-142.31,180.0,top
C12,10uF,C_0805,131.9,-112.71,180.0,top
C12,10uF,C_0805,99.6,-142.31,180.0,top
C12,10uF,C_0805,68.4,-113.01,180.0,top
C12,10uF,C_0805,69.095,-142.495,180.0,top
C13,10uF,C_0805,96.3,-112.91,180.0,top
C13,10uF,C_0805,129.3,-142.41,180.0,top
C13,10uF,C_0805,128.5,-112.81,180.0,top
C13,10uF,C_0805,96.2,-142.41,180.0,top
C13,10uF,C_0805,65.0,-113.11,180.0,top
C13,10uF,C_0805,65.695,-142.595,180.0,top
C14,10uF,C_0805,96.3,-110.91,180.0,top
C14,10uF,C_0805,129.3,-140.41,180.0,top
C14,10uF,C_0805,128.5,-110.81,180.0,top
C14,10uF,C_0805,96.2,-140.41,180.0,top
C14,10uF,C_0805,65.0,-111.11,180.0,top
C14,10uF,C_0805,65.695,-140.595,180.0,top
C15,10uF,C_0805,96.3,-108.91,180.0,top
C15,10uF,C_0805,129.3,-138.41,180.0,top
C15,10uF,C_0805,128.5,-108.81,180.0,top
C15,10uF,C_0805,96.2,-138.41,180.0,top
C15,10uF,C_0805,65.0,-109.11,180.0,top
C15,10uF,C_0805,65.695,-138.595,180.0,top
C16,10uF,C_0805,96.3,-102.81,180.0,top
C16,10uF,C_0805,129.3,-132.31,180.0,top
C16,10uF,C_0805,128.5,-102.71,180.0,top
C16,10uF,C_0805,96.2,-132.31,180.0,top
C16,10uF,C_0805,65.0,-103.01,180.0,top
C16,10uF,C_0805,65.695,-132.495,180.0,top
C17,10uF,C_0805,96.35,-100.76,180.0,top
C17,10uF,C_0805,129.35,-130.26,180.0,top
C17,10uF,C_0805,128.55,-100.66,180.0,top
C17,10uF,C_0805,96.25,-130.26,180.0,top
C17,10uF,C_0805,65.05,-100.96,180.0,top
C17,10uF,C_0805,65.745,-130.445,180.0,top
C18,10uF,C_0805,99.65,-120.96,180.0,top
C18,10uF,C_0805,132.65,-150.46,180.0,top
C18,10uF,C_0805,131.85,-120.86,180.0,top
C18,10uF,C_0805,99.55,-150.46,180.0,top
C18,10uF,C_0805,68.35,-121.16,180.0,top
C18,10uF,C_0805,69.045,-150.645,180.0,top
C19,10uF,C_0805,96.2,-120.91,180.0,top
C19,10uF,C_0805,129.2,-150.41,180.0,top
C19,10uF,C_0805,128.4,-120.81,180.0,top
C19,10uF,C_0805,96.1,-150.41,180.0,top
C19,10uF,C_0805,64.9,-121.11,180.0,top
C19,10uF,C_0805,65.595,-150.595,180.0,top
C2,10uF,C_0805,99.75,-108.81,180.0,top
C2,10uF,C_0805,132.75,-138.31,180.0,top
C2,10uF,C_0805,131.95,-108.71,180.0,top
C2,10uF,C_0805,99.65,-138.31,180.0,top
C2,10uF,C_0805,68.45,-109.01,180.0,top
C2,10uF,C_0805,69.145,-138.495,180.0,top
C20,10uF,C_0805,96.2,-118.96,180.0,top
C20,10uF,C_0805,129.2,-148.46,180.0,top
C20,10uF,C_0805,128.4,-118.86,180.0,top
C20,10uF,C_0805,96.1,-148.46,180.0,top
C20,10uF,C_0805,64.9,-119.16,180.0,top
C20,10uF,C_0805,65.595,-148.645,180.0,top
C21,10uF,C_0805,96.2,-116.91,180.0,top
C21,10uF,C_0805,129.2,-146.41,180.0,top
C21,10uF,C_0805,128.4,-116.81,180.0,top
C21,10uF,C_0805,96.1,-146.41,180.0,top
C21,10uF,C_0805,64.9,-117.11,180.0,top
C21,10uF,C_0805,65.595,-146.595,180.0,top
C22,10uF,C_0805,96.3,-114.91,180.0,top
C22,10uF,C_0805,129.3,-144.41,180.0,top
C22,10uF,C_0805,128.5,-114.81,180.0,top
C22,10uF,C_0805,96.2,-144.41,180.0,top
C22,10uF,C_0805,65.0,-115.11,180.0,top
C22,10uF,C_0805,65.695,-144.595,180.0,top
C23,10uF,C_0805,154.85,-148.52,180.0,top
C23,10uF,C_0805,154.05,-118.92,180.0,top
C23,10uF,C_0805,121.75,-148.52,180.0,top
C23,10uF,C_0805,121.85,-119.02,180.0,top
C23,10uF,C_0805,90.55,-119.22,180.0,top
C23,10uF,C_0805,91.245,-148.705,180.0,top
C24,10uF,C_0805,154.85,-150.57,180.0,top
C24,10uF,C_0805,154.05,-120.97,180.0,top
C24,10uF,C_0805,121.75,-150.57,180.0,top
C24,10uF,C_0805,121.85,-121.07,180.0,top
C24,10uF,C_0805,90.55,-121.27,180.0,top
C24,10uF,C_0805,91.245,-150.755,180.0,top
C25,10uF,C_0805,151.45,-142.47,180.0,top
C25,10uF,C_0805,150.65,-112.87,180.0,top
C25,10uF,C_0805,118.35,-142.47,180.0,top
C25,10uF,C_0805,118.45,-112.97,180.0,top
C25,10uF,C_0805,87.15,-113.17,180.0,top
C25,10uF,C_0805,87.845,-142.655,180.0,top
